year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2017,305007320,NA,ESCAMA MARINA,300,HOOK AND LINES / ROD AND REEL
2017,305006371,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006793,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006512,14011854131,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007445,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006033,18011692131,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2014,305006397,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006371,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007445,1701142813-4,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006397,25011915134,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305005878,NA,ESCAMA MARINA,400,HOOK AND LINES / ROD AND REEL
2015,305007692,20031505136,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007312,0302274113-3,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007361,2501A283134,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305001893,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305007429,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305008047,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2014,305006793,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007361,3103019513-1,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305001893,3002897813-8,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2016,305003162,2502324813-3,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305003113,0302330613-4,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007320,3103019813-5,ESCAMA MARINA,300,HOOK AND LINES / ROD AND REEL
2014,305006397,3001194113-4,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305005795,2501A282135,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006769,3001A85613-3,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007064,18013910133,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007312,0302126013-7,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006736,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007429,30033789138,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305003113,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305004459,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2016,305008195,0201352213-7,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305000713,0701B30213-1,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006777,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006397,0302501013-7,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007288,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305003113,25013229133,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2016,305006033,6011870139,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2016,305007593,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006306,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305007320,28020987138,ESCAMA MARINA,300,HOOK AND LINES / ROD AND REEL
2016,305003162,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305008047,14022958133,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006819,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007346,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305004459,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2014,305006793,0202073613-5,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006579,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006470,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2016,305006033,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305007338,25042407132,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2014,305006546,14021712134,ESCAMA,200,HOOK AND LINES / ROD AND REEL
2015,305007098,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305008195,25010880132,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007312,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006306,0701778913-8,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006371,0202052113-7,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007429,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2013,305007437,2501997413-3,ESCAMA,3,GILLNETS
2013,305007437,0701265613-3,ESCAMA,3,GILLNETS
2013,305007437,2603310413-4,ESCAMA,3,GILLNETS
2013,305007783,14026640138,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2013,305005811,12026355134,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2014,305007783,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305007783,3001025313-7,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,305007635,14022291138,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007635,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305007635,30034746134,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2013,305007783,0202093013-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2013,305007783,0701A57513-9,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007668,NA,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2016,305007635,0304113713-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305007635,3102052513-6,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305007296,1402272313-6,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2014,305007783,0202121213-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007668,2502066913-1,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2014,305007296,12027680138,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2013,305005811,3002670910-9,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2013,305005811,3102262113-4,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2012,305007635,25044238139,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007668,2501848313-1,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2013,305005811,2504235013-5,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2012,305007296,25044237137,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2012,305007635,2502056113-5,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2012,305007296,14022271136,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2013,305005811,3002671410-2,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2016,305007783,0701251213-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305007635,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007783,NA,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2013,305005811,3102207610-5,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2012,305007296,2502056013-9,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2016,305007783,3102321213-2,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2014,305007296,NA,ESCAMA,1,HOOK AND LINES / ROD AND REEL
2016,305007635,3002951313-3,ESCAMA MARINA,2,HOOK AND LINES / ROD AND REEL
2016,305007668,NA,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2014,305002929,NA,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2014,305002929,0303058913-1,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2014,305002929,0202142013-6,ESCAMA MARINA,20,HOOK AND LINES / ROD AND REEL
2016,305007668,2501848313-1,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2016,305007668,2502066913-1,ESCAMA MARINA,10,HOOK AND LINES / ROD AND REEL
2013,305007692,3102213710-1,ESCAMA MARINA,1,HOOK AND LINES / ROD AND REEL
2016,306001033,2502068713-9,ESCAMA MARINA,6,HOOK AND LINES / ROD AND REEL
2016,305007304,NA,ESCAMA MARINA,8,HOOK AND LINES / ROD AND REEL
2017,306001702,NA,ESCAMA MARINA,5,HOOK AND LINES / ROD AND REEL
2017,306001892,NA,ESCAMA MARINA,18,HOOK AND LINES / ROD AND REEL
2015,305007759,0701492813-6,ESCAMA MARINA,12,HOOK AND LINES / ROD AND REEL
2016,305008195,NA,ESCAMA MARINA,4,HOOK AND LINES / ROD AND REEL
2015,306001702,NA,ESCAMA,5,HOOK AND LINES / ROD AND REEL
